SiteID, 12933
Longitude, -124.375
Latitude, 40.5
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,2.397
2006,1,1,0,10,2.952
2006,1,1,0,20,3.3960000000000004
2006,1,1,0,30,1.7630000000000001
2006,1,1,0,40,3.114
2006,1,1,0,50,1.7380000000000002
2006,1,1,1,0,1.867
2006,1,1,1,10,3.866
2006,1,1,1,20,3.657
2006,1,1,1,30,2.661
2006,1,1,1,40,0.0
2006,1,1,1,50,0.0
2006,1,1,2,0,3.0260000000000002
2006,1,1,2,10,3.2880000000000003
2006,1,1,2,20,5.183
2006,1,1,2,30,5.551
2006,1,1,2,40,5.142
2006,1,1,2,50,8.475
2006,1,1,3,0,7.817
2006,1,1,3,10,9.555
2006,1,1,3,20,10.577
2006,1,1,3,30,9.374
2006,1,1,3,40,5.691
2006,1,1,3,50,11.479000000000001
2006,1,1,4,0,14.43
2006,1,1,4,10,20.308
2006,1,1,4,20,19.646
2006,1,1,4,30,20.447
2006,1,1,4,40,20.284000000000002
2006,1,1,4,50,23.927
2006,1,1,5,0,24.398000000000003
2006,1,1,5,10,25.017
2006,1,1,5,20,26.951
2006,1,1,5,30,24.851999999999997
2006,1,1,5,40,29.541999999999998
2006,1,1,5,50,30.0
2006,1,1,6,0,27.851999999999997
2006,1,1,6,10,29.599
2006,1,1,6,20,29.421
2006,1,1,6,30,28.868000000000002
2006,1,1,6,40,30.0
2006,1,1,6,50,30.0
2006,1,1,7,0,30.0
2006,1,1,7,10,29.936
2006,1,1,7,20,30.0
2006,1,1,7,30,29.421999999999997
2006,1,1,7,40,29.561
2006,1,1,7,50,28.01
2006,1,1,8,0,29.121
2006,1,1,8,10,29.655
2006,1,1,8,20,30.0
2006,1,1,8,30,30.0
2006,1,1,8,40,30.0
2006,1,1,8,50,29.485
2006,1,1,9,0,28.955
2006,1,1,9,10,30.0
2006,1,1,9,20,26.675
2006,1,1,9,30,30.0
2006,1,1,9,40,30.0
2006,1,1,9,50,29.476999999999997
2006,1,1,10,0,29.627
2006,1,1,10,10,30.0
2006,1,1,10,20,30.0
2006,1,1,10,30,29.538
2006,1,1,10,40,30.0
2006,1,1,10,50,30.0
2006,1,1,11,0,29.759
2006,1,1,11,10,30.0
2006,1,1,11,20,29.717
2006,1,1,11,30,30.0
2006,1,1,11,40,29.467
2006,1,1,11,50,29.439
2006,1,1,12,0,29.705
2006,1,1,12,10,17.377
2006,1,1,12,20,30.0
2006,1,1,12,30,30.0
2006,1,1,12,40,29.95
2006,1,1,12,50,29.607
2006,1,1,13,0,29.708000000000002
2006,1,1,13,10,30.0
2006,1,1,13,20,30.0
2006,1,1,13,30,30.0
2006,1,1,13,40,27.401
2006,1,1,13,50,29.416
2006,1,1,14,0,30.0
2006,1,1,14,10,30.0
2006,1,1,14,20,26.919
2006,1,1,14,30,30.0
2006,1,1,14,40,29.016
2006,1,1,14,50,28.448
2006,1,1,15,0,27.339000000000002
2006,1,1,15,10,29.555999999999997
2006,1,1,15,20,30.0
2006,1,1,15,30,29.627
2006,1,1,15,40,29.801
2006,1,1,15,50,30.0
2006,1,1,16,0,30.0
2006,1,1,16,10,29.785
2006,1,1,16,20,28.733
2006,1,1,16,30,29.609
2006,1,1,16,40,29.296999999999997
2006,1,1,16,50,30.0
2006,1,1,17,0,30.0
2006,1,1,17,10,30.0
2006,1,1,17,20,30.0
2006,1,1,17,30,30.0
2006,1,1,17,40,29.65
2006,1,1,17,50,30.0
2006,1,1,18,0,29.439
2006,1,1,18,10,29.000999999999998
2006,1,1,18,20,30.0
2006,1,1,18,30,30.0
2006,1,1,18,40,30.0
2006,1,1,18,50,29.994
2006,1,1,19,0,29.101
2006,1,1,19,10,30.0
2006,1,1,19,20,29.093000000000004
2006,1,1,19,30,30.0
2006,1,1,19,40,29.695999999999998
2006,1,1,19,50,29.509
2006,1,1,20,0,30.0
2006,1,1,20,10,30.0
2006,1,1,20,20,30.0
2006,1,1,20,30,28.739
2006,1,1,20,40,30.0
2006,1,1,20,50,29.555
2006,1,1,21,0,30.0
2006,1,1,21,10,30.0
2006,1,1,21,20,30.0
2006,1,1,21,30,29.973000000000003
2006,1,1,21,40,30.0
2006,1,1,21,50,29.901999999999997
2006,1,1,22,0,30.0
2006,1,1,22,10,30.0
2006,1,1,22,20,30.0
2006,1,1,22,30,30.0
2006,1,1,22,40,30.0
2006,1,1,22,50,28.737
2006,1,1,23,0,29.25
2006,1,1,23,10,30.0
2006,1,1,23,20,29.048000000000002
2006,1,1,23,30,30.0
2006,1,1,23,40,30.0
2006,1,1,23,50,30.0
2006,1,2,0,0,27.462
2006,1,2,0,10,29.031
2006,1,2,0,20,27.48
2006,1,2,0,30,27.33
2006,1,2,0,40,29.971
2006,1,2,0,50,26.399
2006,1,2,1,0,26.875999999999998
2006,1,2,1,10,28.419
2006,1,2,1,20,30.0
2006,1,2,1,30,30.0
2006,1,2,1,40,29.211
2006,1,2,1,50,30.0
2006,1,2,2,0,28.61
2006,1,2,2,10,26.136
2006,1,2,2,20,28.666999999999998
2006,1,2,2,30,23.193
2006,1,2,2,40,22.315
2006,1,2,2,50,23.201
2006,1,2,3,0,26.094
2006,1,2,3,10,27.515
2006,1,2,3,20,27.264
2006,1,2,3,30,28.025
2006,1,2,3,40,29.593000000000004
2006,1,2,3,50,29.805
2006,1,2,4,0,30.0
2006,1,2,4,10,30.0
2006,1,2,4,20,29.163
2006,1,2,4,30,29.212
2006,1,2,4,40,30.0
2006,1,2,4,50,21.81
2006,1,2,5,0,17.506
2006,1,2,5,10,14.867
2006,1,2,5,20,14.547
2006,1,2,5,30,11.642999999999999
2006,1,2,5,40,10.662
2006,1,2,5,50,6.587000000000001
2006,1,2,6,0,6.229
2006,1,2,6,10,6.266
2006,1,2,6,20,7.638999999999999
2006,1,2,6,30,5.461
2006,1,2,6,40,4.486000000000001
2006,1,2,6,50,2.016
2006,1,2,7,0,3.076
2006,1,2,7,10,2.551
2006,1,2,7,20,1.871
2006,1,2,7,30,0.7759999999999999
2006,1,2,7,40,0.0
2006,1,2,7,50,0.0
2006,1,2,8,0,0.0
2006,1,2,8,10,0.0
2006,1,2,8,20,0.0
2006,1,2,8,30,0.0
2006,1,2,8,40,0.0
2006,1,2,8,50,2.254
2006,1,2,9,0,2.1919999999999997
2006,1,2,9,10,0.0
2006,1,2,9,20,0.875
2006,1,2,9,30,1.137
2006,1,2,9,40,1.042
2006,1,2,9,50,1.3219999999999998
2006,1,2,10,0,0.0
2006,1,2,10,10,2.156
2006,1,2,10,20,2.468
2006,1,2,10,30,4.529
2006,1,2,10,40,1.9240000000000002
2006,1,2,10,50,3.568
2006,1,2,11,0,1.209
2006,1,2,11,10,3.5389999999999997
2006,1,2,11,20,2.088
2006,1,2,11,30,4.737
2006,1,2,11,40,3.6630000000000003
2006,1,2,11,50,3.385
2006,1,2,12,0,4.603
2006,1,2,12,10,3.802
2006,1,2,12,20,5.275
2006,1,2,12,30,7.654
2006,1,2,12,40,10.363
2006,1,2,12,50,9.416
2006,1,2,13,0,16.835
2006,1,2,13,10,14.479000000000001
2006,1,2,13,20,14.359000000000002
2006,1,2,13,30,18.927
2006,1,2,13,40,19.62
